D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,2323,0.744610436,0.004921346,0.00660929,-0.001687944,0
1000,2324,0.643786655,0.008900203,0.013824771,-0.004924568,0
1000,2335,1.068914181,0.001676075,0.001568017,0.000108059,0.237257267
1000,2337,0.800813794,0.000704438,0.000879652,-0.000175215,0.009826552
1000,2338,0.829214162,0.000306066,0.000369104,-0.000063038,0.15191458
1000,2341,0.872745251,0.000306066,0.000350693,-0.000044627,0.298614173
1000,2342,0.833664088,0.001102809,0.001322846,-0.000220037,0.008227572
1000,2343,0.79534894,0.000612132,0.000769639,-0.000157508,0.013085249
1000,2344,0.68467043,0.001350577,0.001972594,-0.000622017,8.81E-10
1000,2345,0.682759611,0.006514832,0.009541912,-0.00302708,0
1000,2346,0.650299614,0.000442095,0.000679833,-0.000237738,6.66751E-05
1000,2348,0.838685436,0.028546721,0.034037459,-0.005490738,0
1000,2349,0.801312856,0.001258271,0.001570262,-0.000311991,0.000577712
1000,2350,0.894111229,0.00579582,0.006482214,-0.000686394,0.000194302
1000,2352,0.808884482,0.070244561,0.086841277,-0.016596716,0
1000,2353,0.762675054,0.011756819,0.015415239,-0.003658421,0
1000,2354,0.752633793,0.002861474,0.003801947,-0.000940473,2.41E-11
1000,2355,0.974992399,0.000301208,0.000308933,-7.73E-06,0.848507872
1000,2357,0.923762541,0.001316569,0.001425225,-0.000108656,0.209885723
1000,2358,0.804230073,0.030256804,0.037622075,-0.007365271,0
1000,2360,0.7170356,0.000655856,0.000914676,-0.000258821,0.00018109
1000,2362,0.850561666,0.018349382,0.021573253,-0.003223871,0
1000,2363,0.770252716,0.021468339,0.027871812,-0.006403473,0
1000,2364,0.874928287,0.002934346,0.003353814,-0.000419467,0.001560436
1000,2365,0.672418267,0.000539259,0.00080197,-0.000262711,4.94346E-05
1000,2366,0.937019035,0.003449315,0.003681157,-0.000231843,0.095766226
1000,2369,0.807624827,0.008652435,0.010713434,-0.002060999,0
1000,2374,0.728637926,0.001059085,0.001453514,-0.000394429,5.99E-06
1000,2376,0.669218641,0.004595847,0.006867482,-0.002271635,0
1000,2377,0.780290301,0.026443125,0.03388883,-0.007445705,0
1000,2378,0.727643735,0.017455475,0.02398904,-0.006533565,0
1000,2379,0.700137085,0.009007083,0.012864742,-0.003857659,0
1000,2380,0.924259289,0.000991071,0.001072286,-0.000081216,0.280000535
1000,2381,0.716726784,0.010644293,0.014851256,-0.004206963,0
1000,2383,0.882121268,0.00040323,0.000457114,-0.000053884,0.271771691
1000,2385,0.705335759,0.023275586,0.032999299,-0.009723713,0
1000,2386,0.780359425,0.008997367,0.011529773,-0.002532406,0
1000,2388,0.731919346,0.038384555,0.052443695,-0.01405914,0
